iteration,M,triangles,time
0,1000,6269303.1697537545,194.79785895347595
1,1000,6682793.996438438,197.16446018218994
2,1000,15009013.133377377,202.15548014640808
3,1000,11090706.45408008,201.51611375808716
4,1000,12175515.008018019,201.3355851173401
0,5000,9443494.4890054,1033.410770893097
1,5000,9626914.664554024,1034.3783752918243
2,5000,9644606.030331189,1035.8116409778595
3,5000,8980214.600995723,1034.9949440956116
4,5000,9166732.360378634,1033.0383050441742
0,10000,8929002.274990605,2190.225670814514
1,10000,8346637.1135727195,2190.0383129119873
2,10000,9340659.046149086,2190.428952217102
3,10000,8984226.357735585,2188.8414692878723
4,10000,8431138.038503906,2191.677987098694
